measurement,location,url,table_number,time_row_position,row_position
kurasawa_wl,kurasawa,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=125412122930&mnflg=0&tmgo=000101010000&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=221&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&lod=0&nwg=1&tmg=202505121230&wsl=0&wl=1&rg=1&sy=gra_river,8,5,-1
toshioka_wl,toshioka,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=125412122930&mnflg=0&tmgo=000101010000&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=210&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&lod=0&nwg=1&tmg=202505121230&wsl=0&wl=1&rg=1&sy=gra_river,8,5,-1
sonooka_wl,sonooka,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=125412122930&mnflg=0&tmgo=000101010000&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=212&tm=000101010000&nw=1&no=0&mp=0&dk=2&sv=1&lod=0&nwg=1&tmg=202505121230&wsl=0&wl=1&rg=1&sy=gra_river,8,5,-1
arasawadam_hr_rain,arasawa,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=1&wl=1&wsl=0&tmg=202210040950&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=12&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=000101010000&mnflg=0&unq=1229495939,8,7,-5
arasawadam_cum_rain,arasawa,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=1&wl=1&wsl=0&tmg=202210040950&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=12&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=000101010000&mnflg=0&unq=1229495939,8,7,-4
arasawadam_wl,arasawa,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=1&wl=1&wsl=0&tmg=202210040950&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=12&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=000101010000&mnflg=0&unq=1229495939,8,7,-3
arasawadam_tot_inflow,arasawa,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=1&wl=1&wsl=0&tmg=202210040950&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=12&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=000101010000&mnflg=0&unq=1229495939,8,7,-2
arasawadam_tot_outflow,arasawa,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?sy=gra_dam&rg=1&wl=1&wsl=0&tmg=202210040950&nwg=1&lod=0&sv=1&dk=4&mp=0&no=0&nw=1&tm=000101010000&sn=12&pg=1&vm=0&tvm=0&fn=0&cn=0&st=1&it=1&tsk=0&tsw=0&tk=0&sb=0&ga=4&gk=0&gk1=0&gk2=0&gk3=0&gk4=0&gk5=0&gn=0&gl=0&gw=0&gc=0&go=0&gm=0&omp=0&ost=0&og1=0&og2=0&og3=0&og4=0&og5=0&og6=0&og7=0&og8=0&og9=0&og10=0&og11=0&rk=1&mty=0&vo=0&tmgo=000101010000&mnflg=0&unq=1229495939,8,7,-1
atsumigawadam_hr_rain,atsumi,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=1188111700&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=13&tm=000101010000&nw=1&no=0&mp=0&dk=4&sv=3&lod=0&nwg=1&tmg=201811120110&wsl=0&wl=1&rg=10&sy=gra_dam,8,7,-5
atsumigawadam_cum_rain,atsumi,http://www.kasen.pref.yamagata.jp/bousai/servlet/bousaiweb.servletBousaiGraph?unq=1188111700&mnflg=0&tmgo=&vo=0&mty=0&rk=1&og11=0&og10=0&og9=0&og8=0&og7=0&og6=0&og5=0&og4=0&og3=0&og2=0&og1=0&ost=0&omp=0&gm=0&go=0&gc=0&gw=0&gl=0&gn=0&gk5=0&gk4=0&gk3=0&gk2=0&gk1=0&gk=0&ga=4&sb=0&tk=0&tsw=0&tsk=0&it=1&st=1&cn=0&fn=0&tvm=0&vm=0&pg=1&sn=13&tm=000101010000&nw=1&no=0&mp=0&dk=4&sv=3&lod=0&nwg=1&tmg=201811120110&wsl=0&wl=1&rg=10&sy=gra_dam,8,7,-4
